Mês/Ano;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;Chuva máxima;Chuva total
  08/1943;0;0;2.1;0.3;0;0.8;1.4;0.1;0;0.2;0;0.9;0;0;4.2;0.3;0;0;0.2;0;0;0;1.5;24;1.6;0.2;0;0.1;0;0.1;0;24;38
  09/1943;0;0;0.3;0.1;0.3;0.2;0;0;0;0;5.2;0.1;0;22.9;1.3;1.5;0;0;1.4;0;0.1;13.7;9.2;6.7;19;0;0.5;0.1;0;0;---;22.9;82.6
  10/1943;0;0.2;0;5.3;14.8;8.6;0;0;0;21.9;1.8;15.6;1.3;37.8;10.2;3.3;0.9;0;0.1;0;10;5.9;3.2;6.8;12.9;0;3.1;41.2;18.9;0.4;0.2;41.2;224.4
  11/1943;0;1.1;10.3;6.1;0;0;1;0;0;0;10.2;0.7;0;0;0;0;0.1;19.6;22.6;0;0;0;0.5;12.1;2.6;0.5;0;0.1;0;11.8;---;22.6;99.3
  12/1943;11.8;10.5;0.6;0.1;0;0;0;0;0;0;0;0;0;0.5;9;0;1.7;2.4;0.3;0;0;5.8;16.3;3.3;3.9;4.3;0;0.1;0.3;3.2;28.3;28.3;102.4
  01/1944;0;0.6;1;0;15.1;42.5;0;0;0;0;0;3.6;8;2.3;0;22.3;13.4;3.7;0.9;0;0.1;0.2;0.1;18.9;4.3;1.6;1.3;0.2;0;0.2;0;42.5;140.3
  02/1944;8.1;0.5;2;0.4;0;0.8;0.1;0;2.3;0.7;0;0;0;2.3;36.1;0.1;1.3;15.2;29.9;2.7;20.2;12.4;31.4;63.3;0.3;44.6;1.8;0;0;---;---;63.3;276.5
  03/1944;0;0.3;19.1;3.1;8.5;9.9;0;0.6;0.7;0;0.1;0;65.8;30.4;0;0;22.2;3;8.8;0;0.5;0;0.1;0.1;0.1;0;0;0.1;0.2;0.2;1.1;65.8;174.9
  04/1944;4.1;5.6;0.2;0.2;0;0;0.3;0.2;0.4;0.1;23.3;0.5;0;0;0.1;0.5;1;0;2.5;9.4;7.2;0;0;0;0;0;0;0;0;1.8;---;23.3;57.4
  05/1944;0;0;0.1;0;0;0;0;0.1;0.1;0;1.1;0.1;0.3;0;2;0.2;0.2;0.1;0;0.3;4;1;0;0.2;0.5;0.6;0.3;0.1;0.2;0;0.3;4;11.8
  06/1944;0.2;0.1;0;1.6;0.1;0.1;0;0.2;0.1;0;0.1;0;0;0;0.1;0;0;5.1;0.1;0.1;0.3;0.2;0;0;0;3.2;14.9;0;0.1;0.1;---;14.9;26.7
  07/1944;0;0;0.3;0.1;0;14.6;1.1;0;1.2;2.6;1.7;0;0;0;0.1;0;0;0;0;0;0;0;1;2.8;0.2;0.3;0.2;0;0.1;0;0.2;14.6;26.5
